source_id,source_name,lat,lon,total_co2_emissions_2025,source,year
1896902,Birla Satna Cement Plant,24.59600906,80.85906793,849754.9321,Climate Trace,2025
1896904,KJS Maihar Cement Plant,24.25375719,80.7979468,1529277.826,Climate Trace,2025
1896912,Cement Corp of India Bokajan Cement Plant,26.02046967,93.76588248,86513.43132,Climate Trace,2025
1896913,Cement Corp of India Tandur Cement Plant,17.33489456,77.48423774,488238.0237,Climate Trace,2025
1896914,Cement Corp of India Rajban Cement Plant,30.52101435,77.66086755,122883.3643,Climate Trace,2025
1896918,UltraTech Baikunth Cement Plant,21.49686109,81.78430205,605715.1413,Climate Trace,2025
1896919,UltraTech Manikgarh Cement Plant,19.72171532,79.17684176,1795368.346,Climate Trace,2025
1896920,UltraTech Maihar Cement Plant,24.19989462,80.79799604,2124889.273,Climate Trace,2025
1896922,Chettinad Cement Kallur Cement Plant,17.36957319,77.44528333,1104324.631,Climate Trace,2025
1896923,Chettinad Cement Karikkali Cement Plant,10.71232489,78.09310792,2273075.218,Climate Trace,2025
1896924,Chettinad Cement Ariyalur Cement Plant,11.05804612,79.06346494,2981100.053,Climate Trace,2025
1896925,Chettinad Cement Puliyur Cement Plant,10.9371654,78.15214635,568434.7368,Climate Trace,2025
1896927,Dalmia Cement East Jaintia Hills Cement Plant,25.19083449,92.35994225,331153.2774,Climate Trace,2025
1896929,Dalmia Cement YSR Cement Plant,14.93124979,78.34047331,859959.3427,Climate Trace,2025
1896930,Dalmia Cement Dalmiapuram Cement Plant,10.96819303,78.94706206,846068.6587,Climate Trace,2025
1896932,Dalmia Cement Belagavi Cement Plant,16.20485395,75.21022391,1362947.75,Climate Trace,2025
1896933,Dalmia DSP Banjari Cement Plant,24.6707566,83.9883796,285965.9057,Climate Trace,2025
1896934,OCL India Rajgangpur Cement Plant,22.2023412,84.59029157,3257335.186,Climate Trace,2025
1896941,Heidelbergcement Damoh Cement Plant,23.9899971,79.39248638,865342.6001,Climate Trace,2025
1896942,Zuari Cement Sitapuram Cement Plant,16.83187256,80.03705284,463811.0968,Climate Trace,2025
